Source,OrgName,BvD ID number,vatNumber,ISO code,NACE Rev. 2,NACE main section,Operating rev,No of employees
auto_1791,CENTITVC - CENTRO DE NANOTECNOLOGIA E MATERIAIS TECNICOS FUNCIONAIS E INTELIGENTES,PT507682734,NaN,PT,7219,"M - Professional, scientific and technical activities",NaN,NaN
auto_1865,CESKE VYSOKE UCENI TECHNICKE V PRAZE,CZ68407700,CZ68407700,CZ,8542,P - Education,217635,NaN
auto_1999,"CNH (CHINA) MANAGEMENT CO., LTD.",CN9367123413,NaN,CN,4661,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,317060,198
auto_2000,CNH CAPITAL AMERICA LLC,US132169854L,NaN,US,2892,C - Manufacturing,NaN,NaN
auto_2003,CNH INDUSTRIAL BRASIL LTDA.,BR01844555000182,NaN,BR,2910,C - Manufacturing,2285695,151
auto_2004,CNH INDUSTRIAL FRANCE,FR695480244,NaN,FR,4661,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2201452,1381
auto_2005,CNH INDUSTRIAL ITALIA S.P.A.,IT00370290363,NaN,IT,2830,C - Manufacturing,3984471,4429
auto_2007,CNH INDUSTRIAL N.V,NL56532474,NaN,NL,2830,C - Manufacturing,23473000,40070
auto_2008,CNH INDUSTRIAL OESTERREICH GMBH,AT9150054534,NaN,AT,4661,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1250152,515
auto_2067,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,FR855200887,NaN,FR,2211,C - Manufacturing,30519678,132200
auto_2068,COMPAGNIE PLASTIC OMNIUM SE,FR955512611,NaN,FR,2229,C - Manufacturing,9106744,34456
auto_2125,CONSTANTIA PIRK GMBH & CO. KG,DE8230001278,NaN,DE,2592,C - Manufacturing,259826,718
auto_2143,CONTI TEMIC MICROELECTRONIC GMBH,DE8190130779,DE811122672,DE,7490,"M - Professional, scientific and technical activities",NaN,3000
auto_2147,CONTINENTAL AUTOMOTIVE FRANCE,FR314722026,NaN,FR,7219,"M - Professional, scientific and technical activities",481713,1575
auto_2149,CONTINENTAL AUTOMOTIVE GMBH,DE2190399628,NaN,DE,2931,C - Manufacturing,NaN,90000
auto_2151,CONTINENTAL AUTOMOTIVE SINGAPORE PTE. LTD.,SG199708326N,NaN,SG,7219,"M - Professional, scientific and technical activities",163597,NaN
auto_2163,CONTINENTAL TEVES AG & CO. OHG,DE6070206503,DE112160365,DE,7010,"M - Professional, scientific and technical activities",NaN,5800
auto_2174,CONTITECH VIBRATION CONTROL GMBH,DE2190202360,NaN,DE,2219,C - Manufacturing,NaN,2380
auto_2191,COOPER-STANDARD FRANCE,FR489332908,NaN,FR,2219,C - Manufacturing,140232,NaN
auto_2198,COPTRON SOCIETA' COOPERATIVA,IT00640040143,NaN,IT,2790,C - Manufacturing,3902,36
auto_2237,CRAFT,FR842301285,NaN,FR,6311,J - Information and communication,1902,NaN
auto_2353,DAIMLER TRUCK AG,DE7331201747,NaN,DE,2910,C - Manufacturing,NaN,101397
auto_2365,DANA ITALIA S.R.L.,IT09338680151,NaN,IT,2815,C - Manufacturing,1100515,1261
auto_2410,DAYCO EUROPE SRL,IT00703890673,NaN,IT,2219,C - Manufacturing,498555,1181
auto_2424,DE CRISTOFARO SERGIO,ITDCRSRG51D02G902D,NaN,IT,4618,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,267,1
auto_2444,DEERE & CO,US362382580,NaN,US,2830,C - Manufacturing,52179000,82200
auto_2466,DELPHI TECHNOLOGIES IP LIMITED,BB41948C,NaN,BB,NaN,NaN,NaN,NaN
auto_2489,DENSO CORPORATION,JP9180301014251,NaN,JP,2932,C - Manufacturing,48172033,164572
auto_2490,DENSO THERMAL SYSTEMS S.P.A.,IT13391870154,NaN,IT,2825,C - Manufacturing,1178716,4433
auto_2512,DEUTSCHES ZENTRUM FUER LUFT- UND RAUMFAHRT E.V.,DE5030021537,NaN,DE,7219,"M - Professional, scientific and technical activities",NaN,7800
auto_2642,DR. ING. H.C. F. PORSCHE AG,DE7330903878,NaN,DE,4519,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,41273134,38108
auto_2647,DR. SCHNEIDER KUNSTSTOFFWERKE GMBH,DE8070166216,NaN,DE,2229,C - Manufacturing,NaN,1300
auto_2787,EATON CORP,US134322509L,NaN,US,2829,C - Manufacturing,12000000,25000
auto_2790,EATON INTELLIGENT POWER LIMITED,IE523985,IE2973522HH,IE,6612,K - Financial and insurance activities,1024725,62
auto_2860,ECOTHEA S.R.L.,IT11928890018,NaN,IT,2931,C - Manufacturing,777,2
auto_287,AGAMA A. S.,CZ00544965,NaN,CZ,2800,C - Manufacturing,5730,NaN
auto_294,AGCO INTERNATIONAL GMBH,FI22017655,NaN,FI,4661,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,21332,2
auto_3076,ENGIE,FR542107651,FR13542107651,FR,3522,"D - Electricity, gas, steam and air conditioning supply",114982625,96454
auto_3160,ES-TEC GMBH,DE2070151603,NaN,DE,7112,"M - Professional, scientific and technical activities",NaN,200
auto_3420,FAMUR INSTITUTE SP. Z O.O.,PL240161480,NaN,PL,7120,"M - Professional, scientific and technical activities",26,1
auto_3421,FAMUR S.A.,PL270641528,NaN,PL,2899,C - Manufacturing,308510,2453
auto_3452,FAURECIA INNENRAUM SYSTEME GMBH,DE7310074593,NaN,DE,2932,C - Manufacturing,NaN,1389
auto_3457,FAURECIA SYSTEMES D'ECHAPPEMENT,FR420797433,NaN,FR,2932,C - Manufacturing,661642,NaN
auto_3466,FCA ITALY HOLDINGS S.P.A.,IT07979870016,NaN,IT,6820,L - Real estate activities,26118,NaN
auto_3559,FICO TRIAD SA,ESA59949255,NaN,ES,2932,C - Manufacturing,24150,203
auto_3576,FILL GESELLSCHAFT M.B.H.,AT9070119771,NaN,AT,2829,C - Manufacturing,227490,905
auto_3600,FIRMA DEKKER,NL37034489,NaN,NL,113,"A - Agriculture, forestry and fishing",NaN,15
auto_3636,FLEX-N-GATE FRANCE,FR443982038,NaN,FR,2932,C - Manufacturing,294762,NaN
auto_3637,FLEX-N-GATE GERMANY GMBH,DE8130065123,NaN,DE,2910,C - Manufacturing,227506,201
auto_3664,FLUID SYSTEM,FR328275391,NaN,FR,2812,C - Manufacturing,NaN,36
auto_3667,FLYBRID AUTOMOTIVE LIMITED,GB06025271,NaN,GB,7112,"M - Professional, scientific and technical activities",1521,26
auto_369,AIRBUS OPERATIONS GMBH,DE2150398592,NaN,DE,3030,C - Manufacturing,9938568,18783
auto_3708,FORD GLOBAL TECHNOLOGIES LLC,US161326575L,NaN,US,2910,C - Manufacturing,NaN,NaN
auto_3711,FORD TRANSMISSIONS GMBH,DE5190552960,NaN,DE,2815,C - Manufacturing,361756,376
auto_3712,FORD-WERKE GMBH,DE5190001854,DE122653611,DE,2910,C - Manufacturing,19332329,19182
auto_3730,FORVIA SE,FR542005376,NaN,FR,2932,C - Manufacturing,28476393,157460
auto_385,AIRPORT MOBILITY GMBH,DE4250606709,NaN,DE,7120,"M - Professional, scientific and technical activities",NaN,4
auto_3985,GEIGER AUTOMOTIVE GMBH,DE8290216326,NaN,DE,2016,C - Manufacturing,106175,643
auto_4070,GETRAG GETRIEBE & ZAHNRADFABRIK HAGENMEY,DE*W0000431231299,NaN,DE,NaN,NaN,NaN,NaN
auto_4121,GKN AUTOMOTIVE LIMITED,GB00034104,NaN,GB,7010,"M - Professional, scientific and technical activities",275144,99
auto_4127,GKN DRIVELINE INTERNATIONAL GMBH,DE5030044275,DE123103956,DE,7010,"M - Professional, scientific and technical activities",125382,446
auto_4128,GKN DRIVELINE KOEPING AB,SE5566530936,NaN,SE,2932,C - Manufacturing,199101,777
auto_4230,GREENERWAVE,FR814901872,NaN,FR,6201,J - Information and communication,NaN,NaN
auto_4283,GUADIANA HISPANO PORTUGESA SL,ESB21408083,NaN,ES,6820,L - Real estate activities,NaN,NaN
auto_4328,H2FLY GMBH,DE7331106786,NaN,DE,9609,S - Other service activities,NaN,NaN
auto_4349,HALDEX BRAKE PRODUCTS AKTIEBOLAG,SE5560682758,NaN,SE,2920,C - Manufacturing,97321,205
auto_4480,"HENAN ZHONG QING MOTIVATION RESEARCH INSTITUTE CO., LTD.",CN9488609248,NaN,CN,NaN,NaN,-414,NaN
auto_4583,HOERMANN AUTOMOTIVE GMBH,DE8250338560,NaN,DE,7200,"M - Professional, scientific and technical activities",NaN,2
auto_4585,HOERMANN AUTOMOTIVE PENZBERG GMBH,DE8290176142,NaN,DE,2910,C - Manufacturing,310,1
auto_4586,HOERMANN VEHICLE ENGINEERING GMBH,DE3030124563,NaN,DE,8299,N - Administrative and support service activities,NaN,181
auto_4621,HOOVER DALE,US123467440L,NaN,US,NaN,NaN,490,3
auto_4622,HOPAX S.R.O.,CZ60779713,NaN,CZ,2511,C - Manufacturing,10576,177
auto_4630,HORIZON GLOBAL AMERICAS INC.,US291123086L,NaN,US,2932,C - Manufacturing,NaN,NaN
auto_4689,HUECK FOLIEN GESELLSCHAFT M.B.H.,AT9070019651,NaN,AT,2561,C - Manufacturing,70420,277
auto_4711,HUSQVARNA AB,SE5560005331,SE556000533101,SE,2830,C - Manufacturing,5182262,13499
auto_4715,HUTCHINSON SNC,FR314397696,NaN,FR,2219,C - Manufacturing,681567,2949
auto_4724,HYDAC FILTERTECHNIK GMBH,DE7290009058,NaN,DE,2891,C - Manufacturing,225968,407
auto_4736,HYLIONTEC GMBH,DE7330903102,NaN,DE,7112,"M - Professional, scientific and technical activities",NaN,1
auto_4749,HYUNDAI MOTOR COMPANY,KR1101110085450,NaN,KR,2910,C - Manufacturing,112465501,NaN
auto_4751,HYUNDAI MOTOR EUROPE TECHNICAL CENTER GMBH,DE6190223164,NaN,DE,7219,"M - Professional, scientific and technical activities",143087,435
auto_4774,I.E.T. S.R.L.,IT01531270856,NaN,IT,4312,F - Construction,13529,147
auto_4873,ILLINOIS TOOL WORKS INC,US361258310,NaN,US,2829,C - Manufacturing,15932000,46000
auto_4898,IMS GEAR SE & CO. KGAA,DE7350046770,NaN,DE,2815,C - Manufacturing,549178,2678
auto_499,ALMA MATER STUDIORUM - UNIVERSITA' DI BOLOGNA,IT80007010376,NaN,IT,NaN,P - Education,NaN,NaN
auto_5034,INNOVACION EMI SL.,ESB21555636,NaN,ES,7112,"M - Professional, scientific and technical activities",NaN,NaN
auto_5163,INTEGRAL LOGISTICS SUPPORT SOCIEDAD LIMITADA,ESB98707185,NaN,ES,5229,H - Transportation and storage,14055,55
auto_5167,INTEL CORP,US941672743,NaN,US,2611,C - Manufacturing,63054000,131900
auto_5183,INTERACTIVE FULLY ELECTRICAL VEHICLES SRL,IT03395740040,IT03395740040,IT,7490,"M - Professional, scientific and technical activities",1950,14
auto_5338,IVECO S.P.A.,IT09709770011,NaN,IT,2910,C - Manufacturing,7721347,6068
auto_5385,JATCO LTD,JP6080101008739,NaN,JP,2932,C - Manufacturing,2089047,5800
auto_5420,JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH,AT9030005688,ATU28781306,AT,7210,"M - Professional, scientific and technical activities",57262,NaN
auto_5441,JOHN DEERE GMBH & CO. KG,DE7170326896,NaN,DE,2890,C - Manufacturing,9378758,10655
auto_5453,JOHNSON CONTROLS TECHNOLOGY COMPANY,USLEI518092,NaN,US,NaN,NaN,NaN,NaN
auto_5502,JUPITER NFI SA,PL011124742,NaN,PL,6619,K - Financial and insurance activities,10349,NaN
auto_5524,KABUSHIKI KAISHA KOBE SEIKOSHO,NL34222226,NaN,NL,7320,"M - Professional, scientific and technical activities",NaN,1
auto_5568,KAUTEX TEXTRON GMBH & CO. KG,DE5030289122,NaN,DE,2229,C - Manufacturing,449142,1300
auto_5628,KIA AUSTRIA GESELLSCHAFT M.B.H.,AT9110438775,NaN,AT,4511,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,230712,NaN
auto_5630,KIA CORPORATION,KR1101110037998,NaN,KR,2910,C - Manufacturing,68301922,NaN
auto_5687,KNOB ENGINES S.R.O.,CZ24695530,NaN,CZ,7110,"M - Professional, scientific and technical activities",31,NaN
auto_5699,"KOBELCO CONSTRUCTION MACHINERY CO.,LTD.",JP8240001012153,NaN,JP,2892,C - Manufacturing,1794883,1994
auto_5761,KOSTAL AUTOMOBIL ELEKTRIK GMBH & CO. KG,DE4210001019,NaN,DE,2790,C - Manufacturing,978972,5212
auto_5782,KRISHANKANT SHARMA,IN0029514286,NaN,IN,NaN,NaN,NaN,NaN
auto_5802,KUBOTA CORPORATION,JP1120001037978,NaN,JP,2830,C - Manufacturing,20217218,50352
auto_5822,KUNSTSTOFF SCHWANDEN AG,CHCHE101903282,NaN,CH,2229,C - Manufacturing,NaN,160
auto_5902,LANXESS AG,DE5330203631,NaN,DE,2016,C - Manufacturing,8662921,15177
auto_5970,LEMFOERDER ELECTRONIC GMBH,DE4170185937,NaN,DE,2790,C - Manufacturing,87186,208
auto_6001,LG ELECTRONICS INC.,KR1101112487050,NaN,KR,2640,C - Manufacturing,65862318,NaN
auto_6057,LINDE + WIEMANN SE & CO. KG,DE6110004987,NaN,DE,7010,"M - Professional, scientific and technical activities",503476,1927
auto_6076,LISA DRAEXLMAIER GMBH,DE8350000037,NaN,DE,7022,"M - Professional, scientific and technical activities",NaN,4
auto_610,ANDREAS BAUER GMBH,DE8350101565,NaN,DE,4120,F - Construction,NaN,64
auto_6246,MAGNA ENERGY STORAGE SYSTEMS GESMBH,AT9030059227,NaN,AT,2932,C - Manufacturing,245614,380
auto_6255,MAGNA INTERNATIONAL INC,CA20045NC,NaN,CA,2932,C - Manufacturing,37840000,168000
auto_6259,MAGNA PT B.V. & CO. KG,DE7070138407,NaN,DE,2815,C - Manufacturing,2045116,2889
auto_6278,"MAHLE DONGHYUN FILTER SYSTEM CO.,LTD",KR1301110026525,NaN,KR,2932,C - Manufacturing,288511,NaN
auto_6279,MAHLE INTERNATIONAL GMBH,DE7330398414,NaN,DE,8299,N - Administrative and support service activities,489431,NaN
auto_6280,MAHLE JAPAN LTD.,JP8013301007523,NaN,JP,2932,C - Manufacturing,236238,900
auto_6303,MAN TRUCK & BUS SE,DE8170085482,NaN,DE,2910,C - Manufacturing,5940829,36135
auto_6386,MASLOG OY,FI28619622,NaN,FI,2822,C - Manufacturing,730,9
auto_6516,MENDELOVA UNIVERZITA V BRNE,CZ62156489,NaN,CZ,8542,P - Education,17683,1750
auto_6526,MERCEDES-BENZ GROUP AG,DE7330530056,DE812526315,DE,2910,C - Manufacturing,162730017,168797
auto_653,ANTONIO CARRARO S.P.A.,IT00186830287,NaN,IT,2830,C - Manufacturing,155330,529
auto_656,ANTRIMON (DEUTSCHLAND) GMBH,DE7270349722,NaN,DE,2562,C - Manufacturing,NaN,7
auto_6593,MGM COMPRO S.R.O.,CZ03093212,NaN,CZ,2790,C - Manufacturing,NaN,31
auto_6611,MICHELIN RECHERCHE ET TECHNIQUE SA,CHCHE102674351,NaN,CH,7219,"M - Professional, scientific and technical activities",NaN,4
auto_6676,MITO DESIGN S.R.L.,IT05797221214,NaN,IT,4332,F - Construction,1339,24
auto_6681,MITSUBISHI FUSO TRUCK& BUS CORP.,JP7020001078696,NaN,JP,2910,C - Manufacturing,5271888,10000
auto_6703,MOBILEYE VISION TECHNOLOGIES LTD,IL53-219-5278,NaN,IL,2670,C - Manufacturing,NaN,1524
auto_6705,MOBITEL NEDERLAND,NL34269081,NaN,NL,7112,"M - Professional, scientific and technical activities",NaN,1
auto_671,APPLICATION SOLUTIONS (ELECTRONICS AND VISION) LIMITED,GB06437845,NaN,GB,6201,J - Information and communication,12041,116
auto_6752,MORAN COMERCIO E REPRESENTACOES LTDA,BR03128902000104,NaN,BR,4619,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2875,8
auto_6754,"MORAVSKY VYZKUM, S.R.O.",CZ27773418,NaN,CZ,7219,"M - Professional, scientific and technical activities",122,NaN
auto_6763,MOTHERSON INNOVATIONS COMPANY LIMITED,GB09877285,NaN,GB,6420,K - Financial and insurance activities,NaN,12
auto_6798,MTM MOTOREN-TECHNIK-MAYER GMBH,DE8130058333,NaN,DE,2920,C - Manufacturing,NaN,27
auto_694,ARAMCO OVERSEAS COMPANY B.V.,NL28040948,NaN,NL,7112,"M - Professional, scientific and technical activities",99192000,10194
auto_695,ARAMCO SERVICES CO,US255710069L,NaN,US,910,B - Mining and quarrying,4630,6
auto_7033,"NINGBO PREH JOYSON AUTOMOTIVE ELECTRONICS CO., LTD.",CN9366688621,NaN,CN,NaN,NaN,519446,NaN
auto_7036,NISSAN KK,JP7180001079150,NaN,JP,4643,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,24152,65
auto_7037,"NISSAN MOTOR CO., LTD.",JP9020001031109,NaN,JP,2910,C - Manufacturing,79387885,131719
auto_7088,NORMA GERMANY GMBH,DE6130004230,NaN,DE,2550,C - Manufacturing,NaN,700
auto_7104,NOVARES FRANCE,FR442694436,NaN,FR,2932,C - Manufacturing,198103,NaN
auto_734,ARLANXEO CANADA INC,CA245279492L,NaN,CA,610,B - Mining and quarrying,NaN,NaN
auto_735,ARLANXEO DEUTSCHLAND GMBH,DE5330226643,NaN,DE,2000,C - Manufacturing,574704,904
auto_7373,PADMINI VNA MECHATRONICS LIMITED,IN0006925714,NaN,IN,2931,C - Manufacturing,51568,NaN
auto_7384,PANASONIC HOLDINGS CORPORATION,JP5120001158218,NaN,JP,2751,C - Manufacturing,62773014,233391
auto_7460,PENG CHEN LIMITED,HK0023691533,NaN,HK,NaN,NaN,NaN,NaN
auto_7507,PHINERGY LTD,IL53-343-2170,NaN,IL,7211,"M - Professional, scientific and technical activities",804,60
auto_7588,PLASTIC OMNIUM ADVANCED INNOVATION AND RESEARCH,BE0471737526,NaN,BE,2931,C - Manufacturing,391006,74
auto_7590,PLASTIC OMNIUM AUTO COMPONENTS GMBH,DE8170786144,NaN,DE,2222,C - Manufacturing,544964,135
auto_7592,PLASTIC OMNIUM AUTOMOTIVE EXTERIORS GMBH,DE2190581946,NaN,DE,2930,C - Manufacturing,531979,2228
auto_7599,PLASTIQUE FORME INDUSTRIE,FR410435663,NaN,FR,2229,C - Manufacturing,15642,86
auto_7640,POLI - MODEL S.R.L.,IT04929150011,NaN,IT,1629,C - Manufacturing,716,5
auto_7663,POLITECNICO DI TORINO,IT00518460019,IT00518460019,IT,NaN,P - Education,NaN,NaN
auto_7702,PORSCHE AUTOMOBIL HOLDING SE,DE7330003759,NaN,DE,7010,"M - Professional, scientific and technical activities",NaN,39
auto_7704,PORSCHE GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,DE7330220574,NaN,DE,6420,K - Financial and insurance activities,NaN,3
auto_7743,PREH GMBH,DE8310238272,NaN,DE,2611,C - Manufacturing,549797,1714
auto_7843,PSA AUTOMOBILES SA,FR542065479,FR82542065479,FR,2910,C - Manufacturing,64428847,41503
auto_8042,REHAU AUTOMOTIVE SE & CO. KG,DE8110000764,NaN,DE,2059,C - Manufacturing,1696897,6322
auto_8054,REMARUL 16 FEBRUARIE SA,RO201373,NaN,RO,2892,C - Manufacturing,8773,216
auto_8064,RENAULT,FR441639465,NaN,FR,2910,C - Manufacturing,50856530,105812
auto_8098,REUTTER GMBH,DE7330088971,NaN,DE,9609,S - Other service activities,33065,42
auto_8177,ROBERT BOSCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,DE7330000658,NaN,DE,2932,C - Manufacturing,98824709,413811
auto_8181,ROBERT BOSH,US189844029L,NaN,US,NaN,NaN,490,1
auto_8189,"ROBOTSYSTEM, S.R.O.",CZ27773329,NaN,CZ,7219,"M - Professional, scientific and technical activities",624,15
auto_8347,SAFRAN,FR562082909,NaN,FR,3030,C - Manufacturing,22119140,83276
auto_8350,SAFRAN AIRCRAFT ENGINES,FR414815217,NaN,FR,3030,C - Manufacturing,11856312,12363
auto_8381,SAIC VOLKSWAGEN AUTOMOTIVE COMPANY LIMITED,CN9362823116,NaN,CN,NaN,NaN,23606185,NaN
auto_8413,"SAMSUNG SDI CO.,LTD.",KR1101110394174,NaN,KR,2611,C - Manufacturing,15879483,NaN
auto_8471,SCANIA CV AKTIEBOLAG,SE5560840976,NaN,SE,2910,C - Manufacturing,16303741,51219
auto_8483,SCHAEFFLER GROUP USA INC,US120452159L,NaN,US,6420,K - Financial and insurance activities,NaN,NaN
auto_8484,SCHAEFFLER TECHNOLOGIES AG & CO. KG,DE8190859040,DE291636029,DE,7112,"M - Professional, scientific and technical activities",15673471,77060
